board_x_mm,board_y_mm,observations,detections,detection_rate,mean_sharpness,std_sharpness,mean_marker_size_px,std_marker_size_px,mean_distance_center_px,mean_camera_distance_mm,mean_pitch_deg,mean_yaw_deg,mean_roll_deg
473.5,380.5,95,94,98.94736842105263,9314.277343729695,992.4057652022218,14.842105263157896,1.5308462707630515,205.9020798389236,0.0,0.0,0.0,0.0
452.5,380.5,95,93,97.89473684210526,9505.889793580247,1409.70166948752,14.28289548974288,2.121169445217795,189.11698615028132,0.0,0.0,0.0,0.0
284.0,359.0,95,95,100.0,9303.995929066528,232.43474610742192,14.88072681427002,0.12053488194942474,124.20780880502458,0.0,0.0,0.0,0.0
473.25,317.0,95,95,100.0,7641.618054961743,644.5415333644604,14.607359886169434,0.3065023422241211,171.68530840672472,0.0,0.0,0.0,0.0
559.5,297.5,95,95,100.0,6748.9076471442495,817.1461226564678,14.995087623596191,0.03476272523403168,246.30130572597895,0.0,0.0,0.0,0.0
241.75,191.25,95,91,95.78947368421052,7145.630313851296,1549.7412779864837,13.784209472254703,2.9061698021408477,88.50142374469176,0.0,0.0,0.0,0.0
283.5,127.5,95,95,100.0,7406.264316673165,262.7191184326183,14.918593406677246,0.11422359943389893,118.20305718636288,0.0,0.0,0.0,0.0
241.0,106.0,95,86,90.52631578947368,5710.048916816782,1927.70560254262,13.495281339946546,4.368583338944131,140.7597196491869,0.0,0.0,0.0,0.0
198.0,62.5,95,50,52.63157894736842,3727.6446699957405,3545.9745025023435,7.648848834790681,7.256715393515459,113.36594939155644,0.0,0.0,0.0,0.0
283.5,41.25,95,72,75.78947368421052,2515.402245616157,1432.3088797755838,10.996638478730855,6.21994886108316,152.98632634617877,0.0,0.0,0.0,0.0
304.75,41.0,95,82,86.3157894736842,4174.854588567766,1696.4627691566313,12.583966576425652,5.0170412161508935,171.97941607259332,0.0,0.0,0.0,0.0
116.0,422.0,95,95,100.0,6649.711858698413,1408.3288285320282,14.612464904785156,0.19102337956428528,273.35137251843804,0.0,0.0,0.0,0.0
116.25,359.0,95,95,100.0,6882.845414056789,533.9155170770274,14.807793617248535,0.02363709732890129,235.96776423920295,0.0,0.0,0.0,0.0
496.0,190.75,95,95,100.0,10838.670461800966,1565.9028188521104,14.84494400024414,0.15499302744865417,182.78760877369703,0.0,0.0,0.0,0.0
